system,E_cls_elec,E_mod_pauli,E_disp,E_frz,E_pol,E_vct,E_int
frame0000,0.7170,11.6781,-8.7248,3.6703,-4.4128,-6.2697,-7.0122
frame0001,3.8485,7.8479,-7.7404,3.9561,-3.5435,-5.1984,-4.7858
frame0002,4.7009,5.3570,-6.3105,3.7473,-3.5209,-4.8345,-4.6080
frame0003,2.9228,7.4063,-6.1567,4.1725,-4.1480,-5.1125,-5.0881
frame0004,8.9535,1.4458,-3.4507,6.9487,-3.4196,-2.9282,0.6008
frame0005,4.9806,2.9012,-4.4100,3.4719,-2.9559,-3.4573,-2.9413
frame0006,2.9739,10.6683,-8.0030,5.6392,-3.3696,-5.6988,-3.4293
frame0007,2.3256,6.9273,-7.3616,1.8913,-2.8240,-4.9317,-5.8644
frame0008,2.7004,6.7675,-6.7058,2.7621,-3.0080,-5.0383,-5.2842
frame0009,3.4019,4.9196,-5.3103,3.0111,-3.5209,-4.6474,-5.1571
frame0010,1.1639,7.1519,-6.5497,1.7661,-3.4630,-5.1755,-6.8724
frame0011,2.7284,8.4715,-7.3094,3.8905,-4.0477,-5.7688,-5.9260
frame0012,3.1066,7.4481,-6.6563,3.8984,-3.5531,-4.7674,-4.4220
frame0013,2.9892,7.5566,-6.7826,3.7632,-3.8027,-4.8488,-4.8883
frame0014,2.6332,5.7802,-6.3355,2.0779,-3.8055,-4.9559,-6.6834
frame0015,1.6666,10.0438,-8.0735,3.6369,-2.9849,-5.4452,-4.7932
frame0016,0.7863,4.4657,-5.9800,-0.7281,-2.7327,-4.2137,-7.6745
frame0017,-3.1374,12.7805,-8.7781,0.8649,-2.3040,-5.7528,-7.1919
frame0018,0.3465,4.4016,-6.0167,-1.2685,-2.4798,-4.2657,-8.0141
frame0019,3.0934,6.8014,-7.2309,2.6639,-2.5082,-4.9541,-4.7983
frame0020,2.9914,6.8802,-6.8171,3.0545,-2.5513,-5.0434,-4.5402
frame0021,2.0365,4.7601,-6.0045,0.7921,-2.7130,-3.8161,-5.7370
frame0022,2.9388,5.0537,-5.8384,2.1541,-2.5082,-4.0134,-4.3675
frame0023,0.4347,9.3696,-7.6001,2.2042,-3.4638,-5.2629,-6.5225
frame0024,0.0153,12.4936,-9.0136,3.4953,-4.6016,-6.6970,-7.8033
frame0025,2.5445,9.4840,-7.5478,4.4807,-4.5142,-5.8621,-5.8956
frame0026,4.2659,6.6069,-7.2073,3.6654,-3.1882,-4.6500,-4.1728
frame0027,2.7018,4.4689,-6.6994,0.4712,-2.8869,-4.5906,-7.0062
frame0028,-0.4852,10.7152,-9.1539,1.0761,-4.1543,-7.3747,-10.4528
frame0029,0.0891,7.3392,-7.2136,0.2147,-3.5796,-5.4156,-8.7806
frame0030,1.0606,8.1712,-6.9248,2.3071,-3.2011,-4.8927,-5.7867
frame0031,2.6059,4.4452,-4.9572,2.0939,-3.1062,-4.0749,-5.0871
frame0032,3.7207,5.0399,-5.1252,3.6354,-3.0652,-4.2265,-3.6563
