system,E_cls_elec,E_mod_pauli,E_disp,E_frz,E_pol,E_vct,E_int
frame0000,2.6733,5.4735,-0.6547,7.4921,-2.0538,-3.6398,1.7985
frame0001,2.9032,3.6326,-0.2732,6.2627,-1.8368,-2.9281,1.4977
frame0003,3.7717,1.1722,0.1806,5.1246,-1.3843,-1.9721,1.7682
frame0005,2.4851,1.1102,0.1668,3.7621,-1.1514,-1.4298,1.1810
frame0007,4.2975,1.9265,0.0519,6.2760,-2.0009,-1.8480,2.4271
frame0009,3.3630,3.6442,-0.3180,6.6893,-2.1874,-2.5681,1.9337
frame0011,2.1654,2.8455,-0.1566,4.8542,-1.7532,-2.1858,0.9152
frame0013,3.4041,0.9300,0.2392,4.5732,-1.7019,-1.6297,1.2416
frame0015,2.3916,0.8852,0.2003,3.4771,-1.1316,-1.6820,0.6635
frame0017,4.9760,0.8954,0.2774,6.1488,-2.0150,-1.9741,2.1597
frame0019,4.8403,1.6923,0.0744,6.6069,-1.8171,-2.1713,2.6185
frame0021,3.9763,9.6762,-1.3498,12.3027,-2.3408,-4.7260,5.2358
frame0023,3.7497,2.6285,-0.0589,6.3193,-2.1832,-3.4008,0.7352
frame0025,1.8459,4.4547,-0.5088,5.7918,-1.8095,-2.5211,1.4612
frame0027,3.6621,0.9233,0.2149,4.8003,-1.5831,-1.6726,1.5447
frame0029,3.1888,0.7502,0.2335,4.1726,-1.4876,-1.3210,1.3639
frame0031,4.6705,2.7572,-0.0856,7.3421,-2.1951,-2.8346,2.3125
frame0033,3.6436,1.9557,-0.0273,5.5721,-1.8892,-1.8500,1.8329
frame0035,3.0632,1.7367,0.1284,4.9283,-2.0922,-2.5540,0.2821
frame0037,1.3609,4.4132,-0.5103,5.2638,-2.1182,-3.0837,0.0619
frame0039,3.1717,1.3177,0.1441,4.6335,-1.7870,-1.9281,0.9184
frame0041,3.1547,1.9505,0.0723,5.1775,-1.7141,-2.2870,1.1764
frame0043,3.5853,3.1781,-0.2639,6.4995,-1.9218,-2.2617,2.3160
frame0045,2.9627,0.6638,0.2037,3.8302,-1.4766,-1.2028,1.1508
frame0047,3.0707,1.1462,0.1063,4.3231,-1.6525,-1.3192,1.3514
frame0049,2.4075,5.4022,-0.6267,7.1830,-2.0287,-2.5617,2.5926
frame0051,2.7442,3.1774,-0.2512,5.6705,-1.8728,-2.4975,1.3002
frame0053,1.8477,3.2258,-0.2574,4.8161,-1.6589,-2.2448,0.9124
frame0055,2.8242,4.0780,-0.4301,6.4722,-1.9923,-2.1189,2.3610
frame0057,2.3860,1.9805,0.0092,4.3756,-1.5316,-1.9100,0.9340
frame0059,4.0795,2.2480,-0.0141,6.3134,-1.8805,-2.2498,2.1832
frame0061,2.8002,2.4238,-0.1321,5.0918,-1.7955,-1.9166,1.3798
frame0063,3.6060,0.7270,0.2419,4.5749,-1.4837,-1.3934,1.6978
frame0065,1.2814,2.0823,0.0005,3.3643,-1.3070,-2.0603,-0.0030
frame0067,3.9461,2.4214,-0.1129,6.2545,-1.8304,-1.9922,2.4319
frame0069,2.5302,4.4805,-0.5015,6.5092,-1.9587,-2.9662,1.5843
frame0071,3.4531,2.1975,-0.0422,5.6084,-2.2356,-2.4057,0.9671
frame0073,3.9333,0.9520,0.2190,5.1042,-2.0296,-1.6967,1.3779
frame0075,2.5435,2.6939,-0.1775,5.0599,-1.7132,-2.0640,1.2827
frame0077,3.5609,2.1141,-0.0165,5.6585,-1.7220,-2.1058,1.8306
frame0079,2.4008,1.8573,0.0777,4.3358,-1.9328,-2.2279,0.1751
frame0081,2.5694,5.3059,-0.6889,7.1864,-2.2300,-3.5522,1.4043
frame0083,3.4983,2.7656,-0.1529,6.1110,-2.0170,-2.8883,1.2057
frame0085,4.2034,0.7978,0.2253,5.2265,-1.4343,-1.4573,2.3349
frame0087,4.7927,1.0412,0.2188,6.0527,-1.7139,-1.7137,2.6251
frame0089,4.3130,3.9484,-0.3669,7.8945,-2.1929,-3.1334,2.5682
frame0091,4.0250,0.6752,0.2675,4.9677,-1.7263,-1.7006,1.5408
frame0093,3.4026,0.4157,0.2922,4.1105,-1.8073,-1.3495,0.9537
frame0095,5.3209,0.9657,0.2900,6.5766,-2.0984,-2.2838,2.1944
frame0097,3.9812,2.4843,-0.1219,6.3435,-2.2485,-2.4602,1.6348
frame0099,2.6784,6.8233,-0.9812,8.5205,-2.4244,-3.8309,2.2652
frame0101,3.6307,2.0964,-0.0724,5.6546,-2.3464,-2.8506,0.4576
frame0103,4.4689,6.3600,-0.8805,9.9484,-3.8622,-3.8519,2.2343
frame0105,4.1158,1.0989,0.1514,5.3661,-2.1897,-2.3874,0.7890
frame0107,3.1910,4.4731,-0.5285,7.1356,-1.9191,-3.0731,2.1434
frame0109,3.7661,2.4941,-0.0667,6.1935,-1.9658,-2.7146,1.5131
frame0111,3.2667,2.9619,-0.2329,5.9956,-1.8294,-2.4828,1.6833
frame0113,4.5716,0.5831,0.2833,5.4379,-1.7136,-1.3657,2.3586
frame0115,5.5462,0.7179,0.2386,6.5027,-1.8224,-1.5636,3.1167
frame0117,5.2235,0.5285,0.2426,5.9946,-1.5135,-1.2951,3.1861
