system,E_cls_elec,E_mod_pauli,E_disp,E_frz,E_pol,E_vct,E_int
frame0000,2.0940,3.6812,-5.0793,0.6959,-1.1445,-2.7647,-3.2133
frame0001,3.2491,2.8074,-4.6354,1.4211,-1.2812,-2.5019,-2.3620
frame0002,1.1619,5.6780,-6.0944,0.7456,-1.1533,-3.4048,-3.8125
frame0003,3.6120,3.7606,-5.4873,1.8853,-1.5648,-3.2265,-2.9060
frame0004,1.0118,9.5808,-7.8008,2.7918,-1.8659,-5.3558,-4.4298
frame0005,1.6606,7.5872,-7.2263,2.0215,-1.3693,-3.9560,-3.3038
frame0006,2.3917,3.3334,-5.0259,0.6992,-1.2870,-3.3040,-3.8918
frame0007,3.4625,4.3642,-5.5490,2.2776,-1.3131,-3.2573,-2.2928
frame0008,1.5807,1.9837,-4.0364,-0.4721,-1.2052,-2.1869,-3.8642
frame0009,2.5791,2.4305,-4.1577,0.8519,-1.2149,-2.1637,-2.5267
frame0010,3.1448,3.3224,-4.9172,1.5499,-1.3857,-2.6927,-2.5285
frame0011,1.8924,6.7268,-6.7810,1.8381,-1.4164,-3.3191,-2.8974
frame0012,3.2274,4.0261,-5.6435,1.6101,-1.8522,-3.5273,-3.7695
frame0013,2.9939,8.4995,-7.7676,3.7257,-2.2261,-5.1971,-3.6974
frame0014,1.7081,8.7986,-7.6735,2.8333,-1.8940,-4.4543,-3.5150
frame0015,2.5424,5.1786,-5.8889,1.8321,-1.3571,-2.9893,-2.5143
frame0016,2.0419,4.9782,-5.6001,1.4200,-1.4144,-2.8936,-2.8881
frame0017,1.5881,4.0155,-5.3800,0.2235,-1.5611,-2.6035,-3.9410
frame0018,3.3062,3.9903,-5.0961,2.2005,-1.9079,-2.9109,-2.6184
frame0019,3.3514,2.7538,-4.5765,1.5287,-1.5619,-2.6025,-2.6358
frame0020,2.2549,8.7862,-7.0889,3.9521,-1.5078,-3.9070,-1.4626
frame0021,2.7343,5.6940,-6.1819,2.2465,-1.6290,-3.3255,-2.7080
frame0022,3.1189,5.5609,-6.0100,2.6699,-1.4961,-2.9152,-1.7414
frame0023,3.0954,3.0158,-4.6297,1.4816,-1.0397,-2.6562,-2.2144
frame0024,2.2025,5.6889,-5.9809,1.9105,-1.2914,-3.6791,-3.0600
frame0025,0.8205,6.0940,-6.4067,0.5078,-1.5788,-3.8733,-4.9442
frame0026,4.2411,3.4811,-5.1721,2.5502,-1.9124,-2.8937,-2.2559
frame0027,3.2133,7.4666,-7.0333,3.6466,-1.7044,-3.4865,-1.5443
frame0028,1.5566,6.2839,-6.7952,1.0453,-1.7249,-3.8654,-4.5450
frame0029,1.6639,5.6094,-6.4368,0.8365,-1.8526,-3.6424,-4.6586
frame0030,3.1851,5.2063,-6.0009,2.3906,-1.5098,-3.5907,-2.7098
frame0031,2.9927,4.1428,-5.5710,1.5644,-1.5780,-2.9974,-3.0109
