system,E_cls_elec,E_mod_pauli,E_disp,E_frz,E_pol,E_vct,E_int
frame0000,4.3805,1.0475,0.2052,5.6332,-1.2345,-1.8137,2.5850
frame0001,3.1030,2.7333,-0.1983,5.6380,-1.1353,-1.9571,2.5457
frame0003,4.0151,3.1405,-0.2204,6.9351,-1.2785,-2.7287,2.9280
frame0005,3.9042,1.6136,0.0230,5.5407,-1.0777,-1.8292,2.6338
frame0007,3.6387,1.2283,0.0940,4.9610,-1.0194,-1.7011,2.2406
frame0009,3.4846,2.0476,-0.0279,5.5042,-1.2844,-2.3186,1.9011
frame0011,4.9749,1.9466,-0.0291,6.8924,-1.4193,-1.9083,3.5648
frame0013,4.2372,2.5493,-0.1572,6.6294,-1.2833,-1.9078,3.4383
frame0015,3.0403,3.8653,-0.4379,6.4677,-1.3611,-2.2571,2.8494
frame0017,3.1841,2.0013,-0.0574,5.1280,-1.1349,-1.8301,2.1630
frame0019,2.6472,2.5693,-0.1573,5.0592,-0.9867,-2.2400,1.8324
frame0021,3.8754,4.4399,-0.6353,7.6799,-1.3204,-2.5286,3.8309
frame0023,2.2813,0.8070,0.1643,3.2527,-0.8346,-1.1982,1.2199
frame0025,2.6962,1.0087,0.1135,3.8183,-1.0422,-1.4896,1.2866
frame0027,3.4048,1.6253,0.0149,5.0450,-1.2465,-1.8737,1.9249
frame0029,2.1338,7.4176,-1.0291,8.5223,-1.3433,-3.6493,3.5296
frame0031,4.5428,3.5671,-0.3690,7.7409,-1.1899,-2.6951,3.8559
frame0033,3.4608,7.6353,-1.1409,9.9552,-1.4604,-3.3162,5.1786
frame0035,5.6932,2.6330,-0.1877,8.1385,-1.4116,-2.0342,4.6927
frame0037,3.5523,6.9809,-0.9757,9.5575,-1.3741,-2.8232,5.3602
frame0039,2.6346,7.3727,-1.0312,8.9760,-1.3021,-3.4644,4.2095
frame0041,4.1514,5.0638,-0.6504,8.5648,-1.2870,-3.2975,3.9803
frame0043,4.7909,3.7443,-0.4195,8.1157,-1.3851,-2.7489,3.9816
frame0045,3.4247,5.4182,-0.6946,8.1483,-1.3926,-3.0415,3.7142
frame0047,3.8303,4.5378,-0.5460,7.8222,-1.1917,-2.7882,3.8423
frame0049,3.6117,6.6275,-0.9490,9.2903,-1.2636,-3.1501,4.8765
frame0051,4.3664,1.4771,0.0077,5.8512,-1.0503,-1.7973,3.0036
frame0053,5.3692,2.1255,-0.1145,7.3802,-1.2162,-1.9600,4.2040
frame0055,3.6595,0.8772,0.1608,4.6975,-1.0713,-1.5113,2.1150
frame0057,3.0387,1.4063,0.0497,4.4947,-1.0235,-1.9478,1.5234
frame0059,3.3052,2.4081,-0.1364,5.5770,-1.1610,-2.0935,2.3226
frame0061,3.3279,4.4173,-0.5200,7.2253,-1.0904,-2.7964,3.3384
frame0063,4.0865,3.6358,-0.3950,7.3273,-1.2415,-2.5080,3.5778
frame0065,3.4893,4.7048,-0.5763,7.6177,-1.2258,-2.8256,3.5663
frame0067,5.1717,2.2923,-0.1047,7.3593,-1.3565,-2.1478,3.8550
frame0069,3.7376,8.1284,-1.2171,10.6490,-1.5224,-3.4874,5.6392
frame0071,4.3885,1.9783,-0.1112,6.2557,-1.1992,-1.7294,3.3271
frame0073,3.8772,5.8378,-0.8206,8.8944,-1.1340,-2.8464,4.9140
frame0075,3.4565,3.3584,-0.3715,6.4434,-1.1250,-2.2208,3.0975
frame0077,3.3974,3.0599,-0.2666,6.1907,-1.1142,-2.3502,2.7263
frame0079,3.5040,4.9336,-0.6333,7.8043,-1.2631,-3.1935,3.3477
frame0081,3.9338,1.8322,-0.0598,5.7063,-1.0449,-1.7153,2.9461
frame0083,4.1638,2.1421,-0.1020,6.2039,-1.1771,-1.9652,3.0616
frame0085,3.2067,3.0505,-0.2781,5.9791,-1.0893,-2.4088,2.4811
frame0087,4.2170,2.6718,-0.1969,6.6919,-1.2518,-2.2033,3.2368
frame0089,3.3755,5.8408,-0.7914,8.4249,-1.2391,-2.9552,4.2307
frame0091,3.7501,2.8105,-0.2718,6.2888,-1.1534,-2.0607,3.0747
frame0093,3.3251,2.5462,-0.2349,5.6364,-1.0770,-1.8479,2.7114
frame0095,3.3695,1.6308,-0.0179,4.9823,-1.1686,-1.4303,2.3834
frame0097,4.2160,4.1172,-0.4668,7.8665,-1.3811,-2.3774,4.1080
frame0099,1.6963,5.6476,-0.7463,6.5977,-1.1537,-2.2969,3.1470
frame0101,3.0977,3.0122,-0.2815,5.8284,-1.1768,-1.7962,2.8554
frame0103,2.4239,0.9366,0.0401,3.4005,-0.9647,-1.1428,1.2930
frame0105,3.7652,2.6563,-0.2237,6.1978,-1.2597,-2.3732,2.5649
frame0107,4.0770,1.1756,0.0439,5.2964,-1.1882,-1.3351,2.7731
frame0109,3.9527,1.8721,-0.0758,5.7490,-1.1214,-1.6400,2.9877
frame0111,2.4428,7.1459,-0.9957,8.5931,-1.2357,-3.3901,3.9673
frame0113,3.3670,2.9014,-0.2733,5.9951,-1.2101,-2.2635,2.5215
frame0115,4.3934,0.6906,0.1582,5.2422,-1.0236,-1.2384,2.9802
frame0117,3.4120,0.7017,0.1632,4.2769,-0.9271,-1.2453,2.1045
frame0119,1.8220,2.3567,-0.2366,3.9420,-0.8284,-1.6780,1.4357
frame0121,1.7577,3.7991,-0.4437,5.1131,-0.9670,-2.3027,1.8434
frame0123,2.6789,3.1910,-0.3259,5.5441,-1.1759,-2.3573,2.0109
frame0125,3.3995,1.8854,-0.1173,5.1676,-1.1817,-1.5178,2.4681
frame0127,3.5493,1.4096,0.0280,4.9870,-1.1911,-1.7039,2.0920
frame0129,2.8247,1.1860,0.0641,4.0748,-1.1068,-1.3762,1.5918
frame0131,3.5390,0.7427,0.1375,4.4193,-0.9652,-1.3851,2.0691
frame0133,3.3929,1.8746,-0.0380,5.2294,-0.9657,-2.0655,2.1983
frame0135,4.6080,1.9437,-0.0674,6.4843,-1.3892,-1.5058,3.5893
frame0137,4.9308,2.4008,-0.1252,7.2064,-1.3810,-1.9685,3.8570
frame0139,3.8084,0.6848,0.1774,4.6705,-1.1307,-1.0731,2.4667
frame0141,4.4961,1.4211,0.0227,5.9399,-1.1736,-1.6018,3.1644
frame0143,6.6596,1.9425,-0.1027,8.4994,-1.3237,-1.7514,5.4244
frame0145,4.4943,0.4920,0.1970,5.1834,-1.0329,-0.9428,3.2076
frame0147,4.7575,0.8181,0.1355,5.7111,-1.0739,-1.2622,3.3751
frame0149,2.8587,1.8921,-0.0560,4.6948,-1.0780,-1.6634,1.9534
frame0151,4.2101,4.7806,-0.5680,8.4227,-1.2146,-2.6620,4.5461
frame0153,2.9427,1.8980,-0.0764,4.7643,-1.2049,-1.5905,1.9689
frame0155,3.9390,1.7802,-0.0312,5.6880,-1.2595,-1.8507,2.5778
frame0157,2.3531,1.7287,-0.0994,3.9825,-0.8488,-1.3416,1.7920
frame0159,2.4996,0.9427,0.1052,3.5475,-0.8496,-1.2194,1.4785
frame0161,3.3172,1.0720,0.1194,4.5086,-1.0263,-1.6096,1.8726
frame0163,3.5555,0.9377,0.1644,4.6577,-1.0980,-1.4732,2.0864
frame0165,4.5425,3.2801,-0.3454,7.4772,-1.3923,-1.8055,4.2794
frame0167,6.2237,3.7262,-0.4549,9.4950,-1.5394,-2.1372,5.8184
frame0169,4.6914,1.3259,0.0495,6.0668,-1.1939,-1.7846,3.0883
frame0171,4.9845,1.3831,0.0288,6.3965,-1.1993,-1.4864,3.7108
frame0173,4.1809,1.6113,-0.0728,5.7195,-1.0535,-1.4110,3.2551
frame0175,4.6394,0.9259,0.0698,5.6351,-1.2814,-1.1931,3.1606
frame0177,3.0289,3.0483,-0.3209,5.7562,-1.0585,-1.9043,2.7934
frame0179,4.6036,1.9388,0.0017,6.5441,-1.3861,-2.0340,3.1240
frame0181,3.9252,2.4639,-0.1372,6.2520,-1.2618,-1.9534,3.0367
frame0183,4.4904,4.6778,-0.5764,8.5917,-1.5381,-2.4744,4.5792
frame0185,2.5925,1.8576,-0.0610,4.3891,-1.1296,-1.5436,1.7160
frame0187,2.5488,3.8730,-0.4208,6.0010,-1.2456,-2.5336,2.2218
frame0189,2.6575,1.5270,0.0140,4.1985,-1.1258,-1.5399,1.5327
frame0191,3.0827,1.8602,0.0072,4.9501,-1.1729,-2.0548,1.7224
frame0193,3.4054,1.3914,-0.0530,4.7438,-1.1251,-1.3142,2.3045
frame0195,2.6437,1.3548,0.0523,4.0509,-1.2318,-1.4753,1.3437
frame0197,1.5345,4.7527,-0.5831,5.7041,-1.3071,-2.4177,1.9794
frame0199,1.4829,1.4436,0.0026,2.9291,-0.9020,-1.3334,0.6937
frame0201,2.1241,0.7778,0.1402,3.0421,-1.2324,-1.0101,0.7996
frame0203,2.0973,2.2553,-0.1123,4.2403,-1.0647,-2.1138,1.0618
frame0205,2.0646,2.8123,-0.2262,4.6506,-1.0419,-2.1243,1.4844
frame0207,2.2548,2.7676,-0.1869,4.8356,-0.9517,-2.0841,1.7998
frame0209,2.7289,3.8895,-0.4216,6.1968,-1.1591,-2.4106,2.6270
frame0211,3.4219,3.5138,-0.3514,6.5843,-1.2764,-2.0446,3.2632
frame0213,4.5362,1.5039,0.0752,6.1153,-1.3746,-1.5169,3.2239
frame0215,4.8174,3.2776,-0.3767,7.7183,-1.4469,-2.0617,4.2097
frame0217,2.7461,0.8664,0.1168,3.7293,-1.1050,-1.3125,1.3118
